#,카테고리,난이도,질문,좋은 답변 기준,상 답변,중 답변,하 답변
1,인성,중,팀 프로젝트에서 갈등이 생겼을 때 어떻게 해결했나요?,"구체적 상황 제시, 본인의 역할 명확화, 갈등 해결 과정 논리적 서술, 결과와 배운 점 포함","NLP 팀 프로젝트에서 데이터 전처리 방식을 두고 의견 충돌이 있었습니다. 저는 감정적 논쟁 대신 두 방식 모두 실험해보자고 제안하고 F1 Score 기준으로 비교했습니다. 제 방식이 7% 높게 나왔고, 팀원도 데이터로 납득했습니다. 이후 팀에서 기술 결정은 실험 결과로 한다는 원칙이 생겼고, 갈등보다 협업 효율이 크게 올랐습니다.","프로젝트 중 팀원과 구현 방향에 대해 의견이 달랐는데, 각자 이유를 이야기하고 절충안을 찾아서 진행했습니다. 대화를 통해 해결했고 프로젝트는 무사히 마쳤습니다.","크게 갈등은 없었고, 다들 잘 맞아서 그냥 같이 진행했습니다."
2,인성,하,본인의 강점과 약점을 AI 개발자 관점에서 설명해보세요.,"직무와 연결된 강점, 약점의 솔직한 인정 + 개선 노력, 구체적 사례 포함","강점은 논문을 읽고 빠르게 프로토타입으로 검증하는 실행력입니다. 최근 RAG 시스템 구축 시 3일 만에 PoC를 완성해 팀 방향 결정에 기여했습니다. 약점은 코드 리팩토링을 미루는 습관인데, 현재는 PR 전 셀프 리뷰 체크리스트를 만들어 개선 중입니다.","강점은 새로운 기술을 빨리 배우는 편이고, 약점은 완벽주의 성향이 있어서 일정이 늦어질 때가 있습니다. 요즘은 타임박싱을 해서 고치려 하고 있습니다.","강점은 열심히 하는 것이고, 약점은 가끔 집중력이 흐트러지는 것입니다."
3,인성,중,빠르게 변화하는 AI 기술 트렌드를 어떻게 따라가고 있나요?,"구체적 학습 방법(논문, 커뮤니티, 실험 등), 최신 트렌드 언급, 지속성과 주체성","매주 arXiv의 cs.CL 섹션을 훑고, 흥미로운 논문은 Papers with Code와 연결해서 재현 실험까지 합니다. Hugging Face 블로그, ML Ops 커뮤니티 뉴스레터도 구독 중이며, 분기마다 한 가지 신기술을 사이드 프로젝트에 적용해보는 루틴을 유지합니다. 최근에는 LLM 에이전트 패턴을 정리해서 팀 내 세미나도 진행했습니다.","Hugging Face 블로그나 유튜브 강의를 보면서 트렌드를 따라가고, 관심 있는 논문은 틈틈이 읽으려 합니다. 바쁠 때는 못할 때도 있지만 꾸준히 하려 노력합니다.",유튜브나 뉴스 기사로 AI 소식을 보는 편입니다. 시간이 날 때 공부합니다.
4,인성,상,윤리적으로 문제가 될 수 있는 AI 프로젝트를 맡게 된다면 어떻게 하겠습니까?,"AI 윤리 이슈 인식 수준, 조직 내 소통 방식, 원칙 기반 판단력 + 현실적 접근","먼저 구체적으로 어떤 윤리적 리스크가 있는지 분석합니다. 특정 집단에 대한 편향 강화나 개인정보 침해 가능성이 있다면 팀 리더 및 법무팀에 서면으로 우려를 공유하고, 리스크 완화 방안을 함께 검토합니다. 그래도 해결이 안 되면 참여 거부 의사를 명확히 밝히겠습니다. 윤리 문제는 조용히 넘기는 것보다 명확히 제기하는 것이 장기적으로 조직에도 이득입니다.",문제가 있다고 판단되면 팀장이나 관련 부서에 먼저 이야기할 것 같습니다. 혼자 결정하기 어렵기 때문에 조직 차원에서 검토하는 것이 맞다고 생각합니다.,"상사가 하라고 하면 일단 하겠지만, 개인적으로 찜찜할 것 같습니다."
5,인성,하,5년 후 본인의 AI 개발자로서의 목표는 무엇인가요?,"명확한 커리어 방향성, 회사/직무와의 연결성, 구체성과 현실성","5년 후에는 LLM 기반 프로덕션 시스템을 end-to-end로 설계·운영할 수 있는 ML 엔지니어가 목표입니다. 구체적으로는 모델 학습부터 서빙, 모니터링까지 MLOps 역량을 갖추고, 팀 내 기술 방향성을 제시할 수 있는 리드 엔지니어 역할을 하고 싶습니다. 이를 위해 현재 Kubernetes 기반 서빙 파이프라인을 공부하고 있습니다.","좋은 AI 개발자로 성장해서 의미 있는 서비스를 만들고 싶습니다. 팀에 기여할 수 있는 사람이 되고 싶고, 리더십도 조금씩 키워나가고 싶습니다.",열심히 해서 실력 있는 개발자가 되고 싶습니다.
6,AI/NLP 기초,하,Transformer 아키텍처의 핵심 원리를 설명해보세요.,"Self-Attention 메커니즘 이해, Encoder-Decoder 구조, Positional Encoding 역할, 이전 RNN과의 차별점","Transformer의 핵심은 Self-Attention으로, 입력 시퀀스 내 모든 토큰 쌍의 관계를 병렬로 계산합니다. Query·Key·Value 행렬 연산으로 각 토큰이 다른 토큰에 얼마나 집중할지 동적으로 결정하고, Positional Encoding으로 순서 정보를 보완합니다. RNN과 달리 병렬 연산이 가능해 긴 시퀀스에서도 long-range dependency를 효과적으로 포착합니다.",Transformer는 Self-Attention이라는 방식으로 문장 안의 단어들 간 관계를 파악합니다. Encoder와 Decoder로 나뉘며 번역 같은 작업에 사용됩니다. 기존 RNN보다 병렬 처리가 빠릅니다.,Transformer는 최신 AI 모델에 많이 쓰이는 구조입니다. 어텐션이라는 게 핵심이고 GPT나 BERT도 이걸 쓴다고 알고 있습니다.
7,AI/NLP 기초,중,BERT와 GPT의 차이점과 각각의 적합한 사용 사례를 설명해보세요.,"Encoder-only vs Decoder-only 구조 차이, 사전학습 방식(MLM vs CLM), 적합 태스크 구분","BERT는 Encoder-only 구조로 MLM(Masked Language Modeling)으로 사전학습해 문장 이해에 최적화됩니다. 분류, NER, QA처럼 입력을 이해해야 하는 태스크에 적합합니다. GPT는 Decoder-only 구조로 CLM(Causal Language Modeling)으로 학습하며 텍스트 생성·요약·대화에 강합니다. 태스크 특성상 라벨이 있는 분류 문제는 BERT, 생성이 필요하면 GPT 계열을 선택합니다.","BERT는 문장을 이해하는 쪽에 강하고, GPT는 텍스트를 생성하는 데 강합니다. 학습 방식도 다른데, BERT는 빈칸 채우기 방식으로 배우고 GPT는 다음 단어를 예측하며 배웁니다.",BERT와 GPT 둘 다 NLP에서 유명한 모델입니다. BERT는 구글이 만들고 GPT는 OpenAI가 만들었습니다. 용도가 조금 다른 것으로 알고 있습니다.
8,AI/NLP 기초,상,LLM의 Hallucination 문제의 원인과 완화 방법을 설명해보세요.,"원인(확률적 생성, 훈련 데이터 한계 등), RAG/RLHF/프롬프트 기법 등 완화 방법 복수 제시","Hallucination은 LLM이 확률 기반으로 토큰을 생성하기 때문에 발생합니다. 훈련 데이터에 없거나 부족한 사실을 그럴듯하게 생성하는 것이 근본 원인입니다. 완화 방법으로는 첫째 RAG로 외부 지식을 실시간 주입하는 방법, 둘째 RLHF로 사실 정확성에 대한 피드백을 학습에 반영하는 방법, 셋째 프롬프트에 '모르면 모른다고 답하라'는 지시를 추가하는 방법이 있습니다. 프로덕션에서는 RAG + 출처 검증 조합을 주로 사용합니다.","LLM이 없는 정보를 지어내는 문제입니다. RAG를 사용해서 검색 결과를 참고하게 하거나, 모델이 답을 모를 때 그렇다고 말하도록 학습하는 방법이 있습니다.",AI가 틀린 답을 자신 있게 말하는 문제입니다. 데이터를 더 많이 학습시키면 줄어들 것 같습니다.
9,AI/NLP 기초,중,Fine-tuning과 Prompt Engineering의 차이와 선택 기준을 설명해보세요.,"비용·데이터·성능 트레이드오프 이해, 상황별 선택 논리 (LoRA/PEFT 언급 시 가점)","Fine-tuning은 특정 태스크 데이터로 모델 가중치를 직접 업데이트하므로 높은 성능을 얻지만, 수백~수천 건의 레이블 데이터와 GPU 비용이 필요합니다. Prompt Engineering은 가중치를 건드리지 않고 입력을 설계해 원하는 출력을 유도합니다. 데이터가 적고 빠른 반복이 필요하면 프롬프트 엔지니어링, 도메인 특화 성능이 중요하면 LoRA 같은 PEFT 기법을 선택합니다. 저는 두 방법을 조합해 프롬프트로 초기 검증 후 Fine-tuning 여부를 결정하는 프로세스를 씁니다.","Fine-tuning은 모델을 특정 데이터로 재학습시키는 거고, Prompt Engineering은 프롬프트를 잘 짜서 원하는 결과를 얻는 방법입니다. 데이터가 충분하면 Fine-tuning이 더 정확하고, 없으면 프롬프트로 대응합니다.","Fine-tuning은 모델을 추가 학습시키는 것이고, Prompt Engineering은 질문을 잘 쓰는 것입니다. 둘 다 모델 성능을 높이는 방법인 것 같습니다."
10,AI/NLP 기초,상,"Tokenization 방식(BPE, WordPiece, SentencePiece)의 차이를 설명하고, 한국어 처리 시 고려사항을 말해보세요.","각 방식의 원리 정확히 설명, 한국어 형태소/교착어 특성 인식, 실제 적용 경험 언급","BPE는 빈도 기반으로 문자 쌍을 병합해 서브워드를 만들고, WordPiece는 언어 모델 확률을 최대화하는 방향으로 병합합니다. SentencePiece는 공백을 특수 토큰으로 처리해 언어 독립적으로 동작합니다. 한국어는 교착어라 어절 단위 분리 시 희귀 토큰이 많아지고, 형태소를 무시하면 의미 단위가 깨집니다. 실무에서는 Mecab 형태소 분석 후 SentencePiece 적용하거나, KoBERT처럼 한국어 특화 vocab을 쓰는 방식이 효과적이었습니다.","BPE는 자주 나오는 문자 조합을 합쳐서 vocabulary를 만드는 방법이고, WordPiece는 BERT에서 쓰는 방식입니다. 한국어는 어미 변화가 많아서 영어보다 tokenization이 어렵습니다.",Tokenization은 문장을 토큰으로 나누는 과정입니다. 한국어는 영어랑 달라서 더 어렵다고 알고 있습니다.
