question_id,category,difficulty,high_score,mid_score,low_score,success
1,인성,중,0.74,0.76,0.14,False
2,인성,하,0.96,0.33,0.16,True
3,인성,중,1.18,0.37,0.17,True
4,인성,상,1.99,1.13,0.15,True
5,인성,하,0.76,0.32,0.1,True
6,AI/NLP 기초,하,1.3,0.48,0.31,True
7,AI/NLP 기초,중,2.58,0.41,0.35,True
8,AI/NLP 기초,상,2.98,0.75,0.62,True
9,AI/NLP 기초,중,1.1,0.53,0.37,True
10,AI/NLP 기초,상,1.43,0.46,0.25,True
11,프로젝트 경험,중,0.89,0.46,0.66,False
12,프로젝트 경험,하,0.76,0.3,0.22,True
13,프로젝트 경험,상,1.33,1.2,0.59,True
14,프로젝트 경험,중,2.08,1.2,0.62,True
15,프로젝트 경험,상,0.86,0.8,0.29,True
16,문제해결/실무,중,2.16,0.4,0.2,True
17,문제해결/실무,하,2.91,0.8,0.64,True
18,문제해결/실무,상,1.1,0.34,0.21,True
19,문제해결/실무,중,1.7,0.72,0.18,True
20,문제해결/실무,상,2.4,0.82,0.65,True
