question_id,answer_a,answer_b,score_a,score_b,winner,expected_winner,success
1,high,mid,0.74,0.76,mid,high,False
1,high,low,0.74,0.14,high,high,True
1,mid,low,0.76,0.14,mid,mid,True
2,high,mid,0.96,0.33,high,high,True
2,high,low,0.96,0.16,high,high,True
2,mid,low,0.33,0.16,mid,mid,True
3,high,mid,1.18,0.37,high,high,True
3,high,low,1.18,0.17,high,high,True
3,mid,low,0.37,0.17,mid,mid,True
4,high,mid,1.99,1.13,high,high,True
4,high,low,1.99,0.15,high,high,True
4,mid,low,1.13,0.15,mid,mid,True
5,high,mid,0.76,0.32,high,high,True
5,high,low,0.76,0.1,high,high,True
5,mid,low,0.32,0.1,mid,mid,True
6,high,mid,1.3,0.48,high,high,True
6,high,low,1.3,0.31,high,high,True
6,mid,low,0.48,0.31,mid,mid,True
7,high,mid,2.58,0.41,high,high,True
7,high,low,2.58,0.35,high,high,True
7,mid,low,0.41,0.35,mid,mid,True
8,high,mid,2.98,0.75,high,high,True
8,high,low,2.98,0.62,high,high,True
8,mid,low,0.75,0.62,mid,mid,True
9,high,mid,1.1,0.53,high,high,True
9,high,low,1.1,0.37,high,high,True
9,mid,low,0.53,0.37,mid,mid,True
10,high,mid,1.43,0.46,high,high,True
10,high,low,1.43,0.25,high,high,True
10,mid,low,0.46,0.25,mid,mid,True
11,high,mid,0.89,0.46,high,high,True
11,high,low,0.89,0.66,high,high,True
11,mid,low,0.46,0.66,low,mid,False
12,high,mid,0.76,0.3,high,high,True
12,high,low,0.76,0.22,high,high,True
12,mid,low,0.3,0.22,mid,mid,True
13,high,mid,1.33,1.2,high,high,True
13,high,low,1.33,0.59,high,high,True
13,mid,low,1.2,0.59,mid,mid,True
14,high,mid,2.08,1.2,high,high,True
14,high,low,2.08,0.62,high,high,True
14,mid,low,1.2,0.62,mid,mid,True
15,high,mid,0.86,0.8,high,high,True
15,high,low,0.86,0.29,high,high,True
15,mid,low,0.8,0.29,mid,mid,True
16,high,mid,2.16,0.4,high,high,True
16,high,low,2.16,0.2,high,high,True
16,mid,low,0.4,0.2,mid,mid,True
17,high,mid,2.91,0.8,high,high,True
17,high,low,2.91,0.64,high,high,True
17,mid,low,0.8,0.64,mid,mid,True
18,high,mid,1.1,0.34,high,high,True
18,high,low,1.1,0.21,high,high,True
18,mid,low,0.34,0.21,mid,mid,True
19,high,mid,1.7,0.72,high,high,True
19,high,low,1.7,0.18,high,high,True
19,mid,low,0.72,0.18,mid,mid,True
20,high,mid,2.4,0.82,high,high,True
20,high,low,2.4,0.65,high,high,True
20,mid,low,0.82,0.65,mid,mid,True
